@relation data_combine

@attribute Year numeric
@attribute 'Unit Name' {DMP,CMP,KMP,RMP,BMP,SMP,'Dhaka Range','Mymensingh Range','Chittagong Range','Sylhet Range','Khulna Range','Barisal Range','Rajshahi Range','Rangpur Range','Railway Range',GMP,RPMP}
@attribute Dacoity numeric
@attribute Robbery numeric
@attribute Murder numeric
@attribute 'Speedy Trial' numeric
@attribute Riot numeric
@attribute 'Woman & Child Repression' numeric
@attribute Kidnapping numeric
@attribute 'Police Assault' numeric
@attribute Burglary numeric
@attribute Theft numeric
@attribute 'Other Cases' numeric
@attribute 'Arms Act' numeric
@attribute Explosive numeric
@attribute Narcotics numeric
@attribute Smuggling numeric
@attribute 'Total Cases' numeric

@data
2019,'Mymensingh Range',8,16,248,107,0,1071,26,18,74,355,5897,36,4,5398,178,13436
2019,'Chittagong Range',64,74,626,114,0,1889,77,112,360,786,11676,581,16,12555,190,29120
2019,'Sylhet Range',31,31,303,30,2,861,19,40,103,399,4638,49,7,2246,223,8982
2019,'Khulna Range',33,51,338,62,9,1960,45,26,152,420,8917,342,89,9764,813,23021
2019,'Barisal Range',22,36,169,62,0,1451,20,16,161,182,5763,59,8,3441,5,11395
2019,'Rajshahi Range',36,38,368,132,0,1763,43,28,79,470,7817,343,62,12237,1240,24656
2019,'Rangpur Range',7,29,281,25,0,1771,30,16,103,477,8203,50,8,10262,2218,23480
2019,'Railway Range',0,7,19,2,0,3,0,3,0,60,100,3,1,588,136,922
2019,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
